platform,post_id,comment_id,author,text,created_at,likes,replies
xiaohongshu,note-week-001,h001,运营A,希望能导入小红书评论，手动复制太累,2026-05-18 09:00:00,20,2
xiaohongshu,note-week-001,h002,运营B,入口找不到，新手第一次用很迷茫,2026-05-18 09:05:00,12,1
bilibili,video-week-001,h003,UP主,加载报告有点慢，但还能接受,2026-05-19 10:00:00,15,2
douyin,video-week-001,h004,店主,会员价格偏贵，希望有按次付费,2026-05-19 11:00:00,21,3
weibo,post-week-001,h005,用户甲,客服没人回，充值问题等了半天,2026-05-20 12:00:00,18,4
appstore,review-week-001,h006,用户乙,建议支持导出Excel给团队评审,2026-05-20 13:00:00,16,2
xiaohongshu,note-week-002,h007,品牌主,希望直接导入评论并自动去重,2026-05-25 09:00:00,38,5
bilibili,video-week-002,h008,测试同学,大文件导入页面卡死，刷新后任务找不到,2026-05-25 09:20:00,46,6
douyin,video-week-002,h009,短视频运营,能不能识别购买意向并按点赞排序,2026-05-26 10:00:00,52,7
weibo,post-week-002,h010,安全同学,报告前要脱敏手机号和微信号,2026-05-26 11:00:00,44,5
appstore,review-week-002,h011,用户丙,更新后闪退，打开导入页就退出,2026-05-27 12:00:00,39,4
community,group-week-002,h012,社群用户,如果能看到趋势，比如这周价格抱怨变多了，会更有用,2026-05-27 13:00:00,55,8
community,group-week-002,h013,社群用户2,希望每天早上自动发一份评论日报到群里,2026-05-28 08:00:00,33,3
community,group-week-002,h014,社群用户3,分析结果应该能标记待评审和已处理,2026-05-28 08:30:00,29,2
