platform,post_id,comment_id,author,text,created_at,likes,replies
xiaohongshu,note-growth-001,r001,小白运营,第一次用不知道从哪里导入评论，入口藏得太深了，找了十分钟,2026-05-25 09:01:00,18,2
xiaohongshu,note-growth-001,r002,品牌主A,希望能直接导入小红书笔记评论，现在只能手动复制太累,2026-05-25 09:03:00,42,6
xiaohongshu,note-growth-001,r003,阿琳,批量导出需求清单很重要，我要发给同事评审，最好一键生成Excel,2026-05-25 09:05:00,35,4
xiaohongshu,note-growth-001,r004,增长同学,加载报告太慢了，二百条评论等了快一分钟,2026-05-25 09:08:00,21,3
xiaohongshu,note-growth-001,r005,店铺老板,会员价格有点高，小团队一个月用不了几次，希望有按次付费,2026-05-25 09:12:00,51,7
bilibili,video-ai-002,r006,UP主老王,能不能支持B站视频评论导入，弹幕也想一起分析,2026-05-25 09:15:00,66,12
bilibili,video-ai-002,r007,产品新人,生成的需求太泛了，最好能给出用户场景和验收标准,2026-05-25 09:16:00,44,5
bilibili,video-ai-002,r008,测试小陈,大文件导入时页面卡死，刷新后任务也找不到了,2026-05-25 09:18:00,38,6
bilibili,video-ai-002,r009,运营猫,评论里有很多重复内容，分析前应该自动去重,2026-05-25 09:20:00,29,2
bilibili,video-ai-002,r010,北方用户,客服回复太慢了，充值后模型额度没到账没人处理,2026-05-25 09:23:00,57,9
douyin,video-launch-003,r011,短视频运营,希望按点赞数排序评论，先看高赞差评,2026-05-25 09:25:00,73,8
douyin,video-launch-003,r012,老板娘,能不能自动识别哪些评论是购买意向，方便我跟进客户,2026-05-25 09:27:00,64,10
douyin,video-launch-003,r013,PM实习生,报告里面最好区分Bug、功能建议、价格抱怨和客服问题,2026-05-25 09:30:00,48,5
douyin,video-launch-003,r014,数据同学,导出的JSON字段太少，我想保留原始链接、点赞数和回复数,2026-05-25 09:31:00,24,3
douyin,video-launch-003,r015,张先生,退款入口找不到，试用后不合适但不知道怎么取消订阅,2026-05-25 09:34:00,61,11
weibo,post-public-004,r016,微博运营,能不能每天早上自动发一份评论日报到群里,2026-05-25 09:36:00,46,4
weibo,post-public-004,r017,阿强,摘要还可以，但我想看到每个需求背后的原始评论证据,2026-05-25 09:38:00,33,3
weibo,post-public-004,r018,内容主管,希望支持关键词过滤，比如只看退款、卡顿、导出相关评论,2026-05-25 09:39:00,52,6
weibo,post-public-004,r019,安全同学,评论里可能有手机号和微信号，生成报告前要脱敏,2026-05-25 09:41:00,70,9
weibo,post-public-004,r020,财务姐姐,按月订阅不适合我们，想要团队版发票和年度套餐,2026-05-25 09:44:00,40,4
appstore,app-review-005,r021,用户21,更新后闪退，打开评论导入页面就退出,2026-05-25 09:46:00,26,2
appstore,app-review-005,r022,用户22,希望有新手引导视频，现在不知道第一步该干嘛,2026-05-25 09:48:00,31,3
appstore,app-review-005,r023,竞品用户,竞品可以直接生成PRD，这个只能给摘要，差一点,2026-05-25 09:50:00,55,7
appstore,app-review-005,r024,用户24,能不能把任务直接派给开发和测试，不要我复制粘贴,2026-05-25 09:52:00,67,8
appstore,app-review-005,r025,用户25,免费版限制太严了，没体验到价值就让我付费,2026-05-25 09:54:00,45,5
community,group-feedback-006,r026,社群用户A,团队成员看不到同一份报告，希望支持多人协作,2026-05-25 10:01:00,34,4
community,group-feedback-006,r027,社群用户B,分析结果应该能标记已处理、待评审、已拒绝,2026-05-25 10:04:00,39,4
community,group-feedback-006,r028,社群用户C,希望能对接飞书或企业微信，把高优先级需求推过去,2026-05-25 10:06:00,50,6
community,group-feedback-006,r029,社群用户D,有些评论是骂人的，应该过滤低价值情绪输出,2026-05-25 10:09:00,22,2
community,group-feedback-006,r030,社群用户E,如果能看到趋势，比如这周价格抱怨变多了，会更有用,2026-05-25 10:12:00,58,7
